ID,Script7,Threshold,Lower Limit,Upper Limit,Train Success,Test Success,Total Success
03-09-2014_18-57-37,Script6,0.15,125,1700,91.1828,81.8841,89.0547
03-09-2014_19-06-23,Script6,0.15,145,3700,89.2929,88.1988,89.0244
03-09-2014_19-59-27,Script6,0.25,105,500,91.0448,82.1429,88.9984
03-09-2014_18-34-37,Script6,0.15,65,100,90.1478,85.3846,88.9925
03-09-2014_19-09-35,Script6,0.15,165,2500,93.2347,76.5432,88.9764
03-09-2014_21-21-26,Script6,0.45,25,1700,90.404,84.8921,88.972
03-09-2014_20-01-53,Script6,0.25,105,2100,91.7778,81.0976,88.9251
03-09-2014_20-03-07,Script6,0.25,105,2900,90.7489,83.75,88.9251
03-09-2014_20-50-42,Script6,0.35,65,1300,91.1695,81.6794,88.9091
03-09-2014_20-51-52,Script6,0.35,65,2100,89.4484,87.218,88.9091
03-09-2014_19-08-59,Script6,0.15,165,2100,90.6921,82.8358,88.7884
03-09-2014_21-20-51,Script6,0.45,25,1300,91.1548,81.25,88.785
03-09-2014_17-07-40,Script6,0.05,25,900,91.2736,81.9355,88.7737
03-09-2014_21-20-16,Script6,0.45,25,900,92.1569,78.3582,88.7454
03-09-2014_20-50-06,Script6,0.35,65,900,92.3261,77.8571,88.6894
03-09-2014_21-30-18,Script6,0.45,45,3700,91.0761,80.531,88.664
03-09-2014_19-36-23,Script6,0.25,45,100,90.5063,82.7815,88.64
03-09-2014_20-04-21,Script6,0.25,105,3700,93.9052,74.8538,88.5993
03-09-2014_21-23-22,Script6,0.45,25,2900,90.25,83.7037,88.5981
03-09-2014_19-15-51,Script6,0.15,185,3300,90.4863,82.1918,88.5299
03-09-2014_18-57-01,Script6,0.15,125,1300,91.0412,80.8824,88.5246
03-09-2014_19-58-01,Script6,0.25,85,3300,89.7331,84.6154,88.4914
03-09-2014_17-07-03,Script6,0.05,25,500,90.9502,80.5755,88.4682
03-09-2014_17-06-26,Script6,0.05,25,100,91.3669,79.0698,88.4615
03-09-2014_20-33-53,Script6,0.35,25,100,90.9283,80.7692,88.4127
03-09-2014_21-22-01,Script6,0.45,25,2100,89.75,84.4444,88.4112
03-09-2014_21-26-17,Script6,0.45,45,900,91.8919,77.3438,88.4112
03-09-2014_21-28-35,Script6,0.45,45,2500,91.8919,77.3438,88.4112
03-09-2014_21-29-10,Script6,0.45,45,2900,91.8919,77.3438,88.4112
03-09-2014_19-10-49,Script6,0.15,165,3300,90.9091,80.8642,88.3465
03-09-2014_17-08-17,Script6,0.05,25,1300,90.5093,81.1594,88.2456
03-09-2014_19-14-38,Script6,0.15,185,2500,91.7548,76.7123,88.2068
03-09-2014_18-50-39,Script6,0.15,105,1300,89.5487,84.3537,88.2042
03-09-2014_20-01-16,Script6,0.25,105,1700,90.2335,81.295,88.1967
03-09-2014_18-51-52,Script6,0.15,105,2100,90.7923,80.9524,88.189
03-09-2014_18-50-03,Script6,0.15,105,900,90.1345,80.6452,88.0702
03-09-2014_20-00-03,Script6,0.25,105,900,90.9091,79.6178,88.0452
03-09-2014_19-11-26,Script6,0.15,165,3700,90.0415,81.6993,88.0315
03-09-2014_18-49-27,Script6,0.15,105,500,90.4651,79.5276,87.9713
03-09-2014_19-05-09,Script6,0.15,145,2900,89.6761,82.716,87.9573
03-09-2014_20-03-44,Script6,0.25,105,3300,88.5776,86,87.9479
03-09-2014_21-19-41,Script6,0.45,25,500,90.4177,80.8219,87.8843
03-09-2014_21-22-36,Script6,0.45,25,2500,89.8058,81.3008,87.8505
03-09-2014_18-45-04,Script6,0.15,85,1700,90.7787,79.2899,87.8234
03-09-2014_19-53-56,Script6,0.25,85,900,89.1667,83.9286,87.8086
03-09-2014_19-54-45,Script6,0.25,85,1300,89.1667,83.9286,87.8086
03-09-2014_19-55-22,Script6,0.25,85,1700,89.1667,83.9286,87.8086
03-09-2014_19-55-58,Script6,0.25,85,2100,89.1667,83.9286,87.8086
03-09-2014_19-04-32,Script6,0.15,145,2500,89.4094,83.0303,87.8049
03-09-2014_19-15-15,Script6,0.15,185,2900,90.1261,79.7203,87.7221
03-09-2014_21-14-40,Script6,0.45,5,1700,89.8406,81.3953,87.6855
03-09-2014_20-00-40,Script6,0.25,105,1300,90.2174,79.3103,87.6033
03-09-2014_18-59-40,Script6,0.15,125,2900,88.5057,84.6591,87.5358
03-09-2014_17-08-54,Script6,0.05,25,1700,90.6977,77.7778,87.4564
03-09-2014_19-58-38,Script6,0.25,85,3700,88.7967,83.2298,87.4028
03-09-2014_20-47-30,Script6,0.35,45,3300,89.8488,80,87.3194
03-09-2014_18-56-24,Script6,0.15,125,900,90.5109,77.8571,87.2958
03-09-2014_20-42-04,Script6,0.35,45,500,90.5242,76.0274,87.2274
03-09-2014_17-16-51,Script6,0.05,45,2100,90.1734,78.8618,87.2068
03-09-2014_18-44-27,Script6,0.15,85,1300,90.3017,76.259,87.0647
03-09-2014_20-43-29,Script6,0.35,45,1300,89.5652,79.7546,86.9984
03-09-2014_19-53-19,Script6,0.25,85,500,89.4845,79.085,86.9906
03-09-2014_19-00-17,Script6,0.15,125,3300,90.5482,75.7396,86.9628
03-09-2014_21-15-28,Script6,0.45,5,2100,88.8454,80.9816,86.9436
03-09-2014_19-56-35,Script6,0.25,85,2500,89.6266,78.882,86.9362
03-09-2014_19-57-24,Script6,0.25,85,2900,89.6266,78.882,86.9362
03-09-2014_20-02-30,Script6,0.25,105,2500,89.6266,78.882,86.9362
03-09-2014_20-25-47,Script6,0.35,5,100,89.6266,78.882,86.9362
03-09-2014_20-26-26,Script6,0.35,5,500,89.6266,78.882,86.9362
03-09-2014_20-34-30,Script6,0.35,25,500,89.4161,78.6517,86.7769
03-09-2014_16-57-45,Script6,0.05,5,500,88.664,80.137,86.7188
03-09-2014_17-09-30,Script6,0.05,25,2100,89.9522,74.7826,86.6792
03-09-2014_20-42-41,Script6,0.35,45,900,89.339,78.882,86.6667
03-09-2014_18-53-06,Script6,0.15,105,2900,88.9493,78.7879,86.6109
03-09-2014_20-45-05,Script6,0.35,45,2100,89.9371,75.3425,86.5169
03-09-2014_18-46-18,Script6,0.15,85,2500,87.8049,82.0225,86.4362
03-09-2014_16-57-05,Script6,0.05,5,100,88.2227,80.4196,86.3934
03-09-2014_20-48-18,Script6,0.35,45,3700,88.9353,77.7778,86.3563
03-09-2014_21-17-05,Script6,0.45,5,2900,90.0794,75.2941,86.3501
03-09-2014_21-17-53,Script6,0.45,5,3300,88.8889,78.8235,86.3501
03-09-2014_21-18-30,Script6,0.45,5,3700,90.625,72.8395,86.3501
03-09-2014_16-58-35,Script6,0.05,5,900,88.5772,78.2609,86.3422
03-09-2014_18-25-25,Script6,0.15,45,100,89.8089,75.9494,86.3275
03-09-2014_18-48-24,Script6,0.15,85,3700,89.6853,75.5556,86.3032
03-09-2014_20-27-05,Script6,0.35,5,900,89.2077,77.4059,86.3028
03-09-2014_18-43-50,Script6,0.15,85,900,89.011,78,86.281
03-09-2014_20-46-42,Script6,0.35,45,2900,89.5522,75.974,86.1958
03-09-2014_18-58-50,Script6,0.15,125,2500,87.9845,80.7692,86.1032
03-09-2014_18-53-57,Script6,0.15,105,3300,89.9048,75.5208,86.053
03-09-2014_20-36-46,Script6,0.35,25,1700,89.1791,76.1628,86.0169
03-09-2014_20-39-13,Script6,0.35,25,2900,90.689,71.345,86.0169
03-09-2014_20-39-50,Script6,0.35,25,3300,88.1701,79.0419,86.0169
03-09-2014_19-00-55,Script6,0.15,125,3700,89.3822,76.1111,85.9599
03-09-2014_18-52-29,Script6,0.15,105,2500,89.9065,74.1758,85.9135
03-09-2014_18-47-08,Script6,0.15,85,2900,87.8632,79.0419,85.9043
03-09-2014_18-47-46,Script6,0.15,85,3300,88.5217,77.4011,85.9043
03-09-2014_21-13-03,Script6,0.45,5,900,89.0595,75.625,85.9031
03-09-2014_20-31-28,Script6,0.35,5,2900,87.8581,79.6537,85.8921
03-09-2014_20-35-56,Script6,0.35,25,1300,88.8683,76.3314,85.8757
03-09-2014_18-45-41,Script6,0.15,85,2100,87.6518,80.6818,85.8209
03-09-2014_16-59-25,Script6,0.05,5,1300,88.5106,77.5,85.7143
03-09-2014_20-27-58,Script6,0.35,5,1300,89.2907,75.102,85.6846
03-09-2014_18-43-02,Script6,0.15,85,500,89.6247,72.6619,85.6419
03-09-2014_21-16-17,Script6,0.45,5,2500,86.3014,83.4356,85.6083
03-09-2014_20-32-08,Script6,0.35,5,3300,87.1585,80.6034,85.5809
03-09-2014_21-12-15,Script6,0.45,5,500,88.7379,75.7225,85.4651
03-09-2014_20-35-07,Script6,0.35,25,900,88.1905,77.8947,85.4545
03-09-2014_20-37-35,Script6,0.35,25,2100,88.0597,77.3256,85.452
03-09-2014_19-27-36,Script6,0.25,25,100,88.1107,77.1144,85.3988
03-09-2014_20-44-17,Script6,0.35,45,1700,89.5745,72.549,85.3933
03-09-2014_18-54-47,Script6,0.15,105,3700,88.0515,76.8786,85.3556
03-09-2014_21-13-52,Script6,0.45,5,1300,88.9764,74.0964,85.3116
03-09-2014_18-15-03,Script6,0.15,25,100,87.6047,78.2828,85.283
03-09-2014_20-30-36,Script6,0.35,5,2500,87.4826,78.7755,85.2697
03-09-2014_17-00-14,Script6,0.05,5,1700,87.1486,78.5714,85.2665
03-09-2014_20-38-24,Script6,0.35,25,2500,88.7218,74.4318,85.1695
03-09-2014_20-33-01,Script6,0.35,5,3700,89.1034,73.2218,85.166
03-09-2014_19-46-17,Script6,0.25,65,900,88.0074,76.3736,85.0829
03-09-2014_17-01-04,Script6,0.05,5,2100,86.9369,79.8742,85.0746
